Employer_Name,EIN,State,Participants,Plan_Year,Plan_Name,Self_Insured,Market_Segment
LIBERTY MUTUAL GROUP INC.,43583679,MA,34859.0,2024,LIBERTY MUTUAL SEVERANCE PLAN,Y,Large (5K+)
CUSHMAN & WAKEFIELD,430955234,MA,29153.0,2024,CUSHMAN & WAKEFIELD 401(K) PLAN,Y,Large (5K+)
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,42103594,MA,26851.0,2024,MASSACHUSETTS INSTITUTE OF TECHNOLOGY SUPPLEMENTAL 401(K) PLAN,Y,Large (5K+)
"PRESIDENT & FELLOWS OF HARVARD COLLEGE HARVARD HUMAN RESOURCES, BENEFI",42103580,MA,26016.0,2024,HARVARD UNIVERSITY WORK-RELATED HIV BENEFITS PLAN,Y,Large (5K+)
BOT OF THE NORTH ATLANTIC STATES CARPENTERS GUARANTEED ANNUITY FUND,42776873,MA,23926.0,2024,N. ATLANTIC STATES CARP. GUARANTEED ANNUITY FUND,Y,Large (5K+)
STATE STREET CORPORATION,42456637,MA,21964.0,2024,STATE STREET SALARY SAVINGS PROGRAM,Y,Large (5K+)
EMD MILLIPORE CORPORATION,42170233,MA,21399.0,2024,401(K) SAVINGS AND INVESTMENT PLAN,Y,Large (5K+)
BRIGHT HORIZONS CHILDREN'S CENTERS LLC,42949680,MA,21079.0,2024,BRIGHT HORIZONS 401(K) PLAN,Y,Large (5K+)
BOSTON SCIENTIFIC CORPORATION,42695240,MA,20375.0,2024,BOSTON SCIENTIFIC CORPORATION SEVERANCE PAY AND LAYOFF NOTIFICATION PLAN,Y,Large (5K+)
EG RETAIL (AMERICA) LLC,824682572,MA,19900.0,2024,EG AMERICA EMPLOYEE SAVINGS PLAN,Y,Large (5K+)
WAYFAIR LLC,262188108,MA,17290.0,2024,WAYFAIR LLC 401(K) PLAN & TRUST,Y,Large (5K+)
PHILIPS NORTH AMERICA LLC,133429115,MA,17115.0,2024,PHILIPS NORTH AMERICA SEVERANCE PLAN,Y,Large (5K+)
"UMASS MEMORIAL HEALTH CARE, INC.",43358566,MA,16482.0,2024,UMASS MEMORIAL HEALTH CARE 401(K) PLAN,Y,Large (5K+)
